id,title,description,level,duration,category,certificate_type,image_url,url
HsC39rOVEe-sywr_75D7Fw,Advanced Security and Troubleshooting,"Updated in May 2025.
 
This course now features Coursera Coach!
 
A smarter way to learn with interactive, real-time conversations that help you test your knowledge, challenge assumptions, and deepen your understanding as you progress through the course.

Strengthen your expertise in network security and troubleshooting with this advanced course. Delve into the latest techniques to secure networks, establish robust connections, and proactively address vulnerabilities. You’ll learn how to counter sophisticated cyber threats, optimize remote access, and implement wireless security measures effectively.

The course begins with a deep dive into network security essentials. Explore topics such as remote access protocols, social engineering tactics, VPN implementation, and enterprise physical security. Understand best practices for network hardening, from securing SNMP communications to advanced wireless protections like geofencing and EAP.

Transitioning to troubleshooting, the course follows CompTIA's structured model, guiding you through problem identification, testing theories, implementing solutions, and system verification. You’ll master essential tools for diagnosing and resolving network issues, including cabling challenges, software tools, IP commands, and DNS troubleshooting techniques.

Designed for IT professionals, network administrators, and cybersecurity specialists, this course requires a foundational understanding of networking concepts. If you’re ready to tackle advanced security and troubleshooting challenges, this course is for you.",ADVANCED,,Networking,"VerifiedCert, Specialization",,https://www.coursera.org/learn/packt-advanced-security-and-troubleshooting-fndef
_4RT9bYTEe6jXQ7DOFLcow,Civil Registration & Vital Statistics in Population Health,"In this course, you will learn about the role and importance of civil registration and vital statistics (CRVS) systems that are used to track birth, death, and life events. Experts from around the world will explain what CRVS systems are, how they are used, the legal bases for registering vital events, and challenges experienced with CRVS systems. You will learn about how CRVS data can be used to inform population-level decision-making, including around specific methods such as medical certification of cause of death (MCCOD) and verbal autopsy, and the application of a gender and equity lens to data systems to ensure they are responsive to the needs of populations. Our overarching goals for the course are to support the collection of country-level death and birth data, to improve the use of data to inform policy priorities, track trends, and plan interventions, and enhance monitoring of major risk factors for early death, especially from noncommunicable diseases. 

The course is the result of a collaboration among multiple partners, including Vital Strategies, the Centers for Disease Control and Prevention (CDC), the CDC Foundation, the Johns Hopkins Bloomberg School of Public Health, Global Health Advocacy Incubator, and University of New South Wales, Sydney. This course was funded by Bloomberg Philanthropies, with co-funding from the Australian government and Bill and Melinda Gates Foundation.",BEGINNER,"2 weeks of study, 2-3 hours/week",Public Health,VerifiedCert,,https://www.coursera.org/learn/crvsforpopulationhealth
h9nm7aF2EeyZ1AqPZNr0NQ,Create a Cover Letter with an Envelope using Microsoft Word,"After successfully completing this project, you will have created a cover letter and an envelope using Microsoft Word. 

While composing a cover letter, you will use various features in Word such as headers, styles, and page size. You will also learn how to adjust page margins and use the markers on the ruler. This project is useful for learning the basic features in Word to create a formal block style letter and envelope.",BEGINNER,2 hours,Business Essentials,VerifiedCert,,https://www.coursera.org/learn/create-a-cover-letter-with-an-envelope-using-microsoft-word
S-GWCuBzEe6cPA6HK-YxMQ,Road Safety & Indigenous Communities: Safe Systems Approach,"Motor vehicle traffic deaths affect indigenous communities at a disproportionate rate as compared to the overall United States population. For children and youth ages 0-19, motor vehicle traffic death rates among American Indian and Alaska Native children and youths are up to 8 times higher than those of other racial and ethnic groups. This is often due to structural barriers in tribal communities such as lack of lighting, potholes, cattle, etc. This course dives specifically into the effectiveness of taking a Safe Systems approach to road safety in tribal communities.

Perspectives from Safe Systems experts and tribal partners on safe systems approaches to road safety are highlighted as examples from specific communities. The course provides historical context to road safety and specific considerations for roads in tribal nations. Next, the course focuses on how to intervene to create a safe system in communities. In addition, this course will prepare you with information on how to apply for an SS4A grant, with examples from specific communities who have successfully obtained the grant. Throughout the course, resources are provided with tools on how to  apply for SS4A grant and how to implement a safe systems approach.",Not Specified,,Public Health,Standard Course Certificate,,https://www.coursera.org/learn/road-safety--indigenous-communities-safe-systems-approach
8phrDvtzEe6RWQr_yLqxhQ,User Interface Design and Prototyping,"In this course, you will create wireframes, mockups, and prototypes, using Figma and Fluent 2 Design.",Not Specified,,Design And Product,"VerifiedCert, Specialization",,https://www.coursera.org/learn/user-interface-design-and-prototyping
aKgfVs3CEeu0KQ5V9fFcUQ,Research Methodologies,"This course focuses on research methodologies. In this vein, the focus will be placed on qualitative and quantitative research methodologies, sampling approaches, and primary and secondary data collection. The course begins with a discussion on qualitative research approaches, looking at focus groups, personal interviews, ethnography, case studies and action research. We will also discuss quantitative research methods with a focus on experimental research design and survey methodology. There will be an exploration of the sampling design process and different sampling approaches, including probability and non-probability sampling as well as sample size and non-response issues. We will look at the nature and scope of primary and secondary data, and the importance of measurement. We will look at the role of the Internet in market research as well as non-comparative scaling techniques. The course ends with a discussion on different data collection approaches, with a focus on observation, content analysis, narrative research, phenomenology, and the collection of data using ethnography.",BEGINNER,20 hours (4 hours per week)  ,Marketing,"VerifiedCert, Specialization",,https://www.coursera.org/learn/research-methodologies
lfKT5sS3EeWhPQ55lNYVVQ,From Climate Science to Action,"Each part of the world faces specific vulnerabilities to climate change and has different opportunities to mitigate the effects and build resilience in the 21st century. With the ratification of the Paris Agreement, many countries have acceded to act in combatting climate change. Indeed, without climate action, decades of sustainable development is at risk, thus making this a ‘make or break’ point in time. Showcasing the most recent scientific evidence, explaining the different regional impacts and divulging climate action strategies, along with interactive tools such as a Carbon Footprint Tracker and (I) NDC Platform, this MOOC provides some opportunities, where you can take action on climate change.

About the Course

This action-oriented MOOC gives you the opportunity to learn about regional climate change impacts and sector-specific strategies to increase resilience and move towards a low-carbon future. You will have the opportunity to explore these issues in depth and tailor your learning experience for one or more of the following regions:

•  Latin America and Caribbean
•  Sub-Saharan Africa
•  Middle East and North Africa
•  Eastern Europe and Central Asia
•  East Asia and Pacific
•  South Asia

 In this endeavor, the MOOC brings together renowned scientists and policymakers to provide a synthesis of the most recent scientific evidence on climate change, regional low emissions and climate resilient development strategies across sectors. A team of expert Instructors will lead discussions around the Paris Agreement, reflections from COP22 and the progress on Nationally Determined Contributions (NDCs).

Course Syllabus

Overview 

‘From Climate Science to Action’ is divided into four weeks. The first two weeks will provide a comprehensive overview of the scientific evidence for climate change, followed by region-specific insights on the impacts of a warmer world in the 21st century. The last two weeks will focus on action strategies that are being undertaken in different regions and countries to meet the climate challenge, and how you as an individual can take action to avoid a warmer world!

Week 1:  Climate Change in the 21st Century

•  Historical and projected observed changes in the climate system, leading up to the end of the 21st century
•  The potential of Intended Nationally Determined Contributions (INDCs) submitted at COP 21 from 187 countries to induce climate action
•  Trends in climate change impacts, including loss of Arctic sea ice, melting glaciers, increased heat waves and extreme temperatures, and drought and aridity 
•  Possible responses from natural systems, explaining how warming could result in sea-level rise, heat waves and extreme temperatures, and ocean acidification

Week 2: Sectoral and Regional Impacts

•  Impacts on key development sectors—from warming above pre-industrial temperatures and projected climate trends—across each of the world’s regions
•  Sectoral impacts focusing on agricultural production, water resources, ecosystem services, and coastal vulnerability for affected populations 
•  Importance of risks with the potential to reverse hard-won development gains and potentially trap millions in poverty, illustrating the need for urgent action now

Week 3: From Science to Action on Climate Change

•  Region-specific discussions on mitigation actions needed to reduce emissions while decreasing vulnerability to climate change impacts through adaptation and by building climate resilience
•  Perspectives from regional experts on their experiences in strategies and actions proposed in each region to help transition towards a low-emissions, climate-resilient development path 
•  Discussions on the progress of the Nationally Determined Contributions (NDCs), outcomes of the Paris Agreement and reflections from the Conference of Parties (COP)22

Week 4: What You Can Do

•  Transformative impact of day-to-day changes when brought to a global scale
•  The rationale for acting now, acting together and acting differently
•  Examples and expected benefits of mitigation and adaptation policies, considering both contributions to global emission reductions and local development opportunities

In addition to the core resources and assignments, you may choose to go further, engaging in fun optional exercises, networking, discussion, and diving deeper into our rich selection of supplemental resources. You will have the opportunity to explore these issues in depth and tailor your learning experience for one or more of the following regions:

•  Latin America and Caribbean
•  Sub-Saharan Africa
•  Middle East and North Africa
•  Eastern Europe and Central Asia
•  East Asia and Pacific
•  South Asia

Course Format

This MOOC has a week-by-week structure, with resources, activities and exercises for you to engage in during each of the four weeks of the course. Each week, you will find a variety of course material, including: 

•  Interactive video talks by renowned climate scientists and practitioners 
•  Interactive tools: the Carbon Footprint Tracker, (I) NDC platform
•  Resources: Core, optional (deep dive) and fun interactives on the week’s theme
•  Quizzes that check your knowledge, reinforce the lesson’s material and provide immediate feedback
•  Assignments that will sharpen your skills of analysis, reflection and communication
•  Discussion forums and social media that enable collaboration with others from around the world, enriching interaction among participants
•  As a final project, you will create a digital artifact 

You can also go much further than this, engaging in optional exercises, networking, or discussion forums and dive deeper into our rich selection of additional resources. We also will use e-discussions, and other tools to facilitate dialogue between the learners and experts.

Recommended Background: No background knowledge is necessary. The content of this course is designed to be accessible to students from any discipline.

Connect: Communicate and share resources via Twitter using hashtag #learnclimate. Sign up for a free account at http://twitter.com",BEGINNER,,Governance And Society,VerifiedCert,,https://www.coursera.org/learn/climate-science
fd3ZQRthEeqQJw6Wlm3hnw,Analyze Box Office Data with Seaborn and Python,"Welcome to this project-based course on Analyzing Box Office Data with Seaborn and Python. In this course, you will be working with the The Movie Database (TMDB) Box Office Prediction data set. The motion picture industry is raking in more revenue than ever with its expansive growth the world over. Can we build models to accurately predict movie revenue? Could the results from these models be used to further increase revenue? We try to answer these questions by way of exploratory data analysis (EDA) in this project and the next. The statistical data visualization libraries Seaborn and Plotly will be our workhorses to generate interactive, publication-quality graphs. By the end of this course, you will be able to produce data visualizations in Python with Seaborn, and apply graphical techniques used in exploratory data analysis (EDA).

This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your internet browser so you can just focus on learning. For this project, you’ll get instant access to a cloud desktop with Python, Jupyter, and scikit-learn pre-installed.

Notes:
-  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want.
- This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",INTERMEDIATE,2 hours,Machine Learning,VerifiedCert,,https://www.coursera.org/learn/analyze-data-seaborn-python
lo08qFSsEe2HYQ674WURew,Material Jetting and Stereolithography,"This course looks at two photopolymer resin-based processes: material jetting and stereolithography. We walk through the build preparation, printing, and post-processing for both processes, and discuss the kinds of applications for which these processes are well suited.

The necessary elements for each course are lecture videos, knowledge checks, and project completion. For additional information on certain topics, I've included supplemental readings and videos throughout various lessons that might enhance your knowledge. Because all resources are not available to all students, these materials are optional.

In addition, you will note that some of the lectures feature our department’s graduate students. These excellent students are sometimes closer to the material, having learned it recently, so we greatly appreciate their participation in the instructional process.",INTERMEDIATE,,Mechanical Engineering,"VerifiedCert, Specialization",,https://www.coursera.org/learn/material-jetting-and-stereolithography
FTu5SITkEe-HnxIaoRsVow,Cybersecurity Identity and Access Solutions with Azure AD,"In this course, you’ll explore the world of authorization and authentication, and understand the concepts of two-step authentication and single sign-on policies. You’ll also become familiar with the features and capabilities of Azure Active Directory (Azure AD), particularly those relating to the benefits of using Azure AD to manage an enterprise’s security requirements including access management, identity governance, and management. This course will take you one step closer to the Microsoft Cybersecurity Analyst Professional Certificate, which requires no degree or prior experience.",BEGINNER,21 hours,Computer Security And Networks,"VerifiedCert, Specialization",,https://www.coursera.org/learn/cybersecurity-identity-access-solutions-azure-ad
U9dtLimJEe-QGRKR-lolWw,GenAI for Front-End Developers,"This course delves into how Generative Artificial Intelligence (GenAI) is transforming front-end development. Through discussions, video demos, and guided hands-on activities, you'll discover how GenAI can boost productivity in UI/UX design, code generation, testing, and documentation. Additionally, the course addresses ethical concerns, risks, and best practices for responsible GenAI use in front-end development.

This course is ideal for team leads and managers guiding front-end development teams, individual front-end developers seeking to enhance their workflows with GenAI tools, and aspiring front-end developers looking to future-proof their skills and gain a competitive edge in the field.

Learners should have a solid understanding of HTML, CSS, JavaScript, and common front-end frameworks like React, Angular, or Vue, along with experience in UI/UX design principles and basic knowledge of version control systems like Git. Additionally, an open mindset towards incorporating GenAI tools and a willingness to experiment with new technologies are essential.

Whether you're an experienced front-end developer looking to stay ahead of the curve or an aspiring professional seeking to future-proof your skillset, this course provides a foundation that will empower you to unlock new levels of efficiency, productivity, and creativity in your work.",INTERMEDIATE,1 Hour,Software Development,"VerifiedCert, Specialization",,https://www.coursera.org/learn/genai-for-front-end-developers
a2kUmjJ-Ee2PAQonVRkX_w,XR in Healthcare Education and Clinical Practice,"This course is designed to teach you about Extended Reality (XR) and how it's used in healthcare education and clinical practice. Using lessons from experts in the field and different case studies, this course shows you how to use this innovative technology in a way that creates sustainable, accessible real-world applications. 

The course considers Extended Reality (XR) from a number of perspectives. First of all, you will learn about the hardware and software considerations, then focus on education structures and frameworks and how Extended Reality is applied appropriately within this context. The final two weeks demonstrate how XR has been applied in real-world clinical practice and how you can best make use of the technology by understanding the impact of interdisciplinary expertise in the field. 

Overall, this course will help you to advance your use of Extended Reality, whatever your background, in clinical training and technologically-enhanced healthcare education contexts. You will also have the optional pathway of developing a business case alongside fellow learners. The business case can be the first step in promoting your XR idea or project to different stakeholders. ",BEGINNER,"4 Weeks of study, 4 -6 hours/week",Patient Care,VerifiedCert,,https://www.coursera.org/learn/extended-reality-in-healthcare-education-and-clinical-practice
NqCadZgsEeu10Ao71wup4w,Teaching LGBTQ+ Health,"This curriculum is designed for faculty members and health professions educators. The course goals are to improve your knowledge, teaching skills, and attitudes pertaining to the provision of health care to LGBTQ+ patients.e.g. This is primarily aimed at first- and second-year undergraduates interested in engineering or science, along with high school students and professionals with an interest in programming.",BEGINNER,"1 week study, 2 hours",Patient Care,VerifiedCert,,https://www.coursera.org/learn/teaching-lgbtq-health
KlAJ6oysEeW79RIwiAyGoQ,Successful Presentation,"Few kinds of communication can have the effect of a powerful presentation.  Even a short speech can motivate people to change long-held beliefs or to take action, and a wonderfully delivered speech can transform a normal person into a leader.

In this course, Prof. William Kuskin provides a series of pragmatic videos and exercises for successful public speaking and presentations. The course develops through four themes—mastering fear, developing a creative formula, using verbal and body language, and anticipating the room—so that you can discover your personal power as a speaker and give excellent presentations.  

Successful presentations do not rely on perfect teeth, a deep voice, or an army of scriptwriters.  They depend largely on the same skills as successful Business Writing and Graphic Design: clarity, structure, and revision. The goal of the course, therefore, is to enable you to discover your own internal power as a speaker and express it to the world.  After this course, with some practice, you will be able to go into any situation and command the room for as long as you like.

This course can be taken for academic credit as part of CU Boulder’s Master of Science in Data Science (MS-DS) degree offered on the Coursera platform. The MS-DS is an interdisciplinary degree that brings together faculty from CU Boulder’s departments of Applied Mathematics, Computer Science, Information Science, and others. With performance-based admissions and no application process, the MS-DS is ideal for individuals with a broad range of undergraduate education and/or professional experience in computer science, information science, mathematics, and statistics. Learn more about the MS-DS program at https://www.coursera.org/degrees/master-of-science-data-science-boulder.",BEGINNER,"4  weeks of study, 2 hours/week",Business Essentials,"VerifiedCert, Specialization",,https://www.coursera.org/learn/presentation-skills
aX4tZnrsEey1tgpUmO8AYQ,Translating Research to Communities ,"Health research must positively impact the lives of the general population, so the public must receive and interpret research findings in a meaningful way. That is why translating research discoveries into practice is an important phase of the translational research spectrum.

In this course, you’ll gain an introduction to the concepts of population health research and the ethical use of data science to drive advances in human health. Specifically, you’ll learn about the computational models used in population health research, the function of community partners in conducting translational research and disseminating findings, as well as the role of population health during health crises like the COVID-19 pandemic, Opioid crisis, and the Flint, Michigan, USA water crisis.

This is the fourth of five courses in the “Translational Science” series.",BEGINNER,,Basic Science,"VerifiedCert, Specialization",,https://www.coursera.org/learn/translating-research-to-communities
jRkDtwN8EfCZBQr_8Qg1_w,Palo Alto Networks Cybersecurity Fundamentals,"Updated in May 2025.
 
This course now features Coursera Coach!
 
A smarter way to learn with interactive, real-time conversations that help you test your knowledge, challenge assumptions, and deepen your understanding as you progress through the course.

Cybersecurity is more critical than ever, and this course provides a solid foundation in understanding cyber threats and protective measures. You’ll explore the evolving threat landscape, identify common cyberattack techniques, and learn about Wi-Fi vulnerabilities and Advanced Persistent Threats (APTs). By the end, you'll be well-versed in key cybersecurity challenges.

The course begins with an introduction to networking fundamentals, covering essential concepts such as internet operations, routing protocols, and network addressing. You will then dive into security models, cybersecurity technologies, and security best practices for data centers, cloud environments, and virtualization. Additionally, you'll gain insights into endpoint security, system administration, and ITIL support functions.

Next, you will explore Palo Alto Networks security solutions. You’ll learn about Next-Generation Firewalls (NGFWs), Prisma Cloud and Prisma Access, SaaS security solutions, and Cortex XDR and XSOAR for incident response. Understanding these tools will help you navigate modern cybersecurity challenges effectively.

This course is ideal for aspiring cybersecurity professionals, IT administrators, and network engineers. A basic understanding of networking and IT concepts is helpful but not required. The difficulty level is intermediate, making it accessible to those with foundational IT knowledge looking to expand into cybersecurity.",INTERMEDIATE,,Computer Security And Networks,VerifiedCert,,https://www.coursera.org/learn/packt-palo-alto-networks-cybersecurity-fundamentals-pccsa-nxmaz
dXCvfA75EfC_-w572D3gsw,Financing  Biotech Innovation,"To harvest the enormous potential of ground-breaking research in the field of biotechnology, large amounts of financing are needed. From the first lab results to a commercially viable product, many years go by, and much money is burned. Thus, financing is the key to making biotechnology innovations accessible to everyone.

By the end of this course, you will have the confidence to talk to and convince investors to fund your endeavor. To do so, the course offers an introduction to financing and discusses the different motivations of those involved in financing. It will also enable you to evaluate different sources of financing. Moreover, it will establish an understanding of the challenges faced during the fundraising process, such as valuing a company, the legal aspects of an investment contract, or pitching your company to investors. Thereby, it will provide you with the confidence of managing the fundraising process and communicating your project effectively to any type of financial backer.",INTERMEDIATE,3-4 hours per week for 6 weeks,Finance,VerifiedCert,,https://www.coursera.org/learn/financing-biotech-innovation
R1uIhdNQEe-wJQr_zK5V5w,Specialized RMAN Features and Advanced Use Cases,"Updated in May 2025.
 
This course now features Coursera Coach!
 
A smarter way to learn with interactive, real-time conversations that help you test your knowledge, challenge assumptions, and deepen your understanding as you progress through the course.

Unlock the advanced capabilities of Oracle RMAN in this comprehensive course tailored for database administrators and IT professionals. This program equips you with the skills to efficiently manage Oracle databases through RMAN’s specialized features, covering database duplication, performance optimization, and integration with multitenant and RAC environments. Practical exercises and demonstrations ensure a hands-on learning experience to reinforce theoretical concepts.

The journey begins with exploring database duplication techniques using RMAN, covering various methods like active duplication and backup-based duplication, both with and without recovery catalog connections. As you advance, you'll delve into troubleshooting RMAN processes, interpreting diagnostics, and fine-tuning performance using techniques like asynchronous I/O and multiplexing.

The course then transitions to RMAN operations in Oracle multitenant and RAC environments. Learn to back up and recover Container Databases (CDBs) and Pluggable Databases (PDBs), manage complex recovery scenarios, and optimize RMAN usage in RAC setups. Conclude with a dive into Oracle Database Backup Cloud Service, from configuration to secure backup storage in the cloud.

This course is ideal for Oracle database administrators and IT professionals looking to elevate their expertise in RMAN. A basic understanding of Oracle databases and RMAN is recommended, with the content suited for intermediate-level learners seeking advanced techniques.",ADVANCED,,Data Management,"VerifiedCert, Specialization",,https://www.coursera.org/learn/packt-specialized-rman-features-and-advanced-use-cases-f2n1f
GJT3MD6xEemL3g4W6JiGWA,Code Free Data Science,"The Code Free Data Science class is designed for learners seeking to gain or expand their knowledge in the area of Data Science.  Participants will receive the basic training in effective predictive analytic approaches accompanying the growing discipline of Data Science without any programming requirements.  Machine Learning methods will be presented by utilizing the KNIME Analytics Platform to discover patterns and relationships in data. Predicting future trends and behaviors allows for proactive, data-driven decisions.  During the class learners will acquire new skills to apply predictive algorithms to real data, evaluate, validate and interpret the results without any pre requisites for any kind of programming.  Participants will gain the essential skills to design, build, verify and test predictive models.  
You Will Learn
•	How to design Data Science workflows without any programming involved
•	Essential Data Science skills to design, build, test and evaluate predictive models
•	Data Manipulation, preparation and Classification and clustering methods
•	Ways to apply Data Science algorithms to real data and evaluate and interpret the results",BEGINNER,,Machine Learning,VerifiedCert,,https://www.coursera.org/learn/code-free-data-science
rc5KG0aUEeWG1w6arGoEIQ,Accounting Analytics,"Accounting Analytics explores how financial statement data and non-financial metrics can be linked to financial performance.  In this course, taught by Wharton’s acclaimed accounting professors, you’ll learn how data is used to assess what drives financial performance and to forecast future financial scenarios. While many accounting and financial organizations deliver data, accounting analytics deploys that data to deliver insight, and this course will explore the many areas in which accounting data provides insight into other business areas including consumer behavior predictions, corporate strategy, risk management, optimization, and more. By the end of this course, you’ll understand how financial data and non-financial data interact to forecast events, optimize operations, and determine strategy. This course has been designed to help you make better business decisions about the emerging roles of accounting analytics, so that you can apply what you’ve learned to make your own business decisions and create strategy using financial data. ",Not Specified,"4 weeks, 3 -5 hours per week",Finance,"VerifiedCert, Specialization",,https://www.coursera.org/learn/accounting-analytics
HOpuOakxEeywagovoAKHOQ,Protecting Data with NetApp Cloud Manager & Cloud Volumes ONTAP for Google Cloud,"This is a self-paced lab that takes place in the Google Cloud console.
In this lab, you will learn how to implement a full data protection strategy with NetApp Cloud Volumes ONTAP and Cloud Manager capabilities.",BEGINNER,1 hour 30 minutes,Cloud Computing,VerifiedCert,,https://www.coursera.org/learn/googlecloud-protecting-data-with-netapp-cloud-manager-cloud-volumes-ontap-iojct
gpAI9GK4EeWFkQ7sUCFGVQ,Municipal Solid Waste Management in Developing Countries,"Have you come across large piles of garbage in neighbourhoods and streets and smelly waste disposal sites polluting the environment of low- and middle-income countries? Do you want to know what kind of sustainable solutions are appropriate to better manage waste and enhance recycling and recovery? If yes, this course is for you! 

This course provides you with an overview of the municipal solid waste management situation in low- and middle-income countries. It covers key elements of the waste management system, such as its technical, environmental, social, financial and institutional aspects. Besides understanding the challenges, you will be introduced to appropriate and already applied solutions through selected case studies.",INTERMEDIATE,"5 weeks of study, 4-6 hours/week",Environmental Science And Sustainability,Standard Course Certificate,,https://www.coursera.org/learn/solid-waste-management
7vsRodoREeetQAqJ6u44Wg,FinTech Foundations and Overview,"Our primary goal is to help you to understand FinTech and to become more confident and persuasive in your ability to analyze and make recommendations to executives within the finance industry regarding how to react to these changes.

This FIRST MOOC ON FINTECH IN ASIA-PACIFIC offered by HKUST presents the insight of several professors from the top business school in Asia as well as perspectives from industry professionals.  HKUST has been ranked for many years as the No.1 EMBA program in the world, as the number one Finance program in Asia, and as the top MBA program in Asia by multiple independent rating and review journals and surveys.  

This course ""FinTech Foundations and Overview"" offers the combined strengths of HKUST in Business, Finance, and Technology as one the world's leading academic institutions on an important area of technology and business innovations.  For learners from outside Asia, this also gives an insight into changes happening in the most advanced FinTech markets of the world, since Asia leads worldwide in FinTech adoption and creative innovations.",BEGINNER,"7 hours of videos in total, plus a final project requiring about 5 hours to complete.",Finance,"VerifiedCert, Specialization",,https://www.coursera.org/learn/fintech
AW_qutKPEeux6ApRYvYN1w,"Extract, Transform, and Load Data","This course is designed for business and data professional seeking to learn the first technical phase of the data science process known as Extract, Transform and Load or ETL.  

Learners will be taught how to collect data from multiple sources so it is available to be transformed and cleaned and then will dive into collected data sets to prepare and clean data so that it can later be loaded into its ultimate destination. In the conclusion of the course learners will load data into its ultimate destination so that it can be analyzed and modeled. 

The typical student in this course will have experience working with data and aptitude with computer programming.",INTERMEDIATE,"3 weeks of study, 1–3 hours per week",Data Analysis,"VerifiedCert, Specialization",,https://www.coursera.org/learn/extract-transform-and-load-data
6R2fSxKeEe-r_Ar_6dbL9Q,Assessing Data Quality with Dataplex,This is a self-paced lab that takes place in the Google Cloud console. This lab shows you how to assess data quality using Dataplex.,BEGINNER,90 minutes,Cloud Computing,VerifiedCert,,https://www.coursera.org/learn/googlecloud-assessing-data-quality-with-dataplex-fk1hs
Zt9u1Mi4Ee2XXwqx_-522w,Emerging Markets - Jagdish Sheth,"The rise of emerging economies is bringing significant changes in the marketing practice. The traditional notion of extending products and services designed for advanced economies is no longer as successful in emerging markets. This is primarily because of affordability and accessibility. Moreover, most consumption in emerging markets is unbranded products and services, and unorganized competition. This course identifies five dimensions where emerging markets are different. The traditional approach of think global, act local (glocal) is replaced by a new perspective of think local, act global, especially in large emerging markets such as China and India.",BEGINNER,,Marketing,"VerifiedCert, Specialization",,https://www.coursera.org/learn/emerging-markets
EdVH6_JIEeyxiRKaoDccyw,Storying the Self: Telling our Stories,"Ask for and give constructive feedback on your work, and consider venues for sharing your stories as both a leader and creator. In leadership contexts, this translates to authentic purpose, vision, and values. You’ll engage with a creative assignment with the intention of creating and polishing a story from your life that can be shared, reflecting on how stories evolve over time, through different media, and through retellings for and with different audiences.",BEGINNER,"Three weeks of study, 3-5hours/week",Personal Development,"VerifiedCert, Specialization",,https://www.coursera.org/learn/storying-the-self-telling-our-stories
tre-phoAEeyZ9BL8TB78QQ,Automize Monthly Report Creation with Power Automate,"Imagine you're working in a large company and part of your job is to send reports to other departments about employee absence from work in the past month. Basically, it is a repetitive and boring manual task that repeats every month and takes a lot of your time. However, you can easily automate it with SharePoint and Power Automate!

In this beginner-level guided project ""Automize Monthly Report Creation with Power Automate"", we will create a SharePoint Site and a SharePoint list with data about employees' annual leave days, sick leave days or days off. All the data will be kept in one place. That data will help us to create the Monthly Employee Absence Report. The Power Automate flow will export data from the SharePoint list and save it in an Excel spreadsheet. Then we will send the table (the report) in an email as an Excel table.

The requirement for this project is having a Microsoft Developer Program account, and you will be provided with instructions on how to get it right here.

If you are ready to make your and your colleagues’ lives easier by starting to automate manual, time-consuming processes which are hard to track, then this project is for you! Let's get started!",BEGINNER,90 minutes,Cloud Computing,VerifiedCert,,https://www.coursera.org/learn/automize-monthly-report-creation-power-automate
meTYWAVTEe60fA6KcFIaOQ,Developing Applications with Cloud Run on Google Cloud: Fundamentals,"This course introduces the Cloud Run serverless platform for running applications. 
In this course, you learn about the fundamentals of Cloud Run, its resource model and the container lifecycle. 
You learn about service identities, how to control access to services, and how to develop and test your 
application locally before deploying it to Cloud Run. The course also teaches you how to integrate 
with other services on Google Cloud so you can build full-featured applications.",BEGINNER,,Cloud Computing,"VerifiedCert, Specialization",,https://www.coursera.org/learn/developing-applications-with-cloud-run-on-gcp-fundamentals
4EOwdnX9EeuG_xLe4EWIOw,Advanced AI Techniques for the Supply Chain,"In this course, we’ll learn about more advanced machine learning methods that are used to tackle problems in the supply chain. We’ll start with an overview of the different ML paradigms (regression/classification) and where the latest models fit into these breakdowns. Then, we’ll dive deeper into some of the specific techniques and use cases such as using neural networks to predict product demand and random forests to classify products. An important part to using these models is understanding their assumptions and required preprocessing steps. We’ll end with a project incorporating advanced techniques with an image classification problem to find faulty products coming out of a machine.",INTERMEDIATE,"3 weeks of study, 3-5 hours per week",Machine Learning,"VerifiedCert, Specialization",,https://www.coursera.org/learn/advanced-ai-techniques-for-the-supply-chain
